date,COUNT,Status Code,Branch Name,Month,Year
6/1/2019,143,C,FR1,6,2019
1/1/2019,34,UE,FR1,1,2019
1/1/2019,2,UE,FR1,1,2019
1/1/2019,39,UE,IT2,1,2019
1/1/2019,4,UE,SP3,1,2019
2/1/2019,35,UE,FR1,2,2019
2/1/2019,56,UE,IT2,2,2019
2/1/2019,1,UE,IT2,2,2019
2/1/2019,17,UE,SP3,2,2019
2/1/2019,1,UE,SP3,2,2019
3/1/2019,23,UE,FR1,3,2019
3/1/2019,4,UE,FR1,3,2019
3/1/2019,10,UE,IT2,3,2019
3/1/2019,1,UE,IT2,3,2019
3/1/2019,7,UE,SP3,3,2019
4/1/2019,45,UE,FR1,4,2019
4/1/2019,18,UE,FR1,4,2019
4/1/2019,14,UE,SP3,4,2019
4/1/2019,11,UE,SP3,4,2019
5/1/2019,78,UE,FR1,5,2019
5/1/2019,30,UE,FR1,5,2019
5/1/2019,14,UE,SP3,5,2019
6/1/2019,4,UE,FR1,6,2019
1/1/2019,2,UE,FR1,1,2019
1/1/2019,3,UE,FR1,1,2019
1/1/2019,11,UE,IT2,1,2019
1/1/2019,1,UE,SP3,1,2019
2/1/2019,6,UE,FR1,2,2019
2/1/2019,1,UE,FR1,2,2019
2/1/2019,15,UE,IT2,2,2019
2/1/2019,1,UE,IT2,2,2019
2/1/2019,2,UE,SP3,2,2019
3/1/2019,7,UE,FR1,3,2019
3/1/2019,3,UE,FR1,3,2019
3/1/2019,70,UE,IT2,3,2019
3/1/2019,95,UE,IT2,3,2019
3/1/2019,5,UE,SP3,3,2019
4/1/2019,7,UE,FR1,4,2019
4/1/2019,4,UE,FR1,4,2019
4/1/2019,3,UE,SP3,4,2019
5/1/2019,12,UE,FR1,5,2019
5/1/2019,8,UE,FR1,5,2019
5/1/2019,6,UE,SP3,5,2019
6/1/2019,1,UE,FR1,6,2019
11/1/2015,27,C,GE4,11,2015
12/1/2015,124,C,GE4,12,2015
11/1/2015,15,UE,GE4,11,2015
12/1/2015,3,UE,GE4,12,2015
1/1/2016,339,C,GE4,1,2016
1/1/2016,21,C,GE4,1,2016
2/1/2016,408,C,GE4,2,2016
3/1/2016,3293,C,GE4,3,2016
4/1/2016,3684,C,GE4,4,2016
5/1/2016,5290,C,GE4,5,2016
6/1/2016,3050,C,GE4,6,2016
6/1/2016,319,C,GE4,6,2016
7/1/2016,2737,C,GE4,7,2016
7/1/2016,747,C,GE4,7,2016
8/1/2016,1590,C,GE4,8,2016
8/1/2016,1303,C,GE4,8,2016
11/1/2016,1911,C,GE4,11,2016
11/1/2016,64,C,GE4,11,2016
12/1/2016,3627,C,GE4,12,2016
6/1/2016,852,EE,GE4,6,2016
6/1/2016,69,EE,GE4,6,2016
7/1/2016,824,EE,GE4,7,2016
7/1/2016,205,EE,GE4,7,2016
8/1/2016,512,EE,GE4,8,2016
8/1/2016,453,EE,GE4,8,2016
11/1/2016,715,EE,GE4,11,2016
11/1/2016,12,EE,GE4,11,2016
12/1/2016,1276,EE,GE4,12,2016
6/1/2016,309,UE,GE4,6,2016
6/1/2016,4,UE,GE4,6,2016
